number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_std,state
21,0.8985316371228935,2026-09-18 20:29:45.067667,2026-09-18 20:29:47.998699,0 days 00:00:02.931032,0.5532759953503305,0.7078926689542319,0.031767620481584255,0.04107901818569881,0,5,1.4700084777066897,800,0.039615582553309714,3.1510177548805594,0.9377590232103328,0.028684165660264247,COMPLETE
22,0.8887607969315052,2026-09-18 20:29:47.999153,2026-09-18 20:29:49.922033,0 days 00:00:01.922880,0.5534223148067278,0.590384366337514,0.005365344190713736,0.01754695276278801,1,7,1.9659822951264054,450,1.1149282990626852,1.9634258462718128,0.7599964729229944,,PRUNED
23,0.88217347605248,2026-09-18 20:29:49.922284,2026-09-18 20:29:51.823327,0 days 00:00:01.901043,0.46581431508447435,0.4642656467225277,0.013627566212318133,0.046696148494760045,2,6,0.661158098238651,600,0.24530851004919324,18.18149219247906,0.9608648579769118,,PRUNED
24,0.8770901787399246,2026-09-18 20:29:51.823580,2026-09-18 20:29:52.866607,0 days 00:00:01.043027,0.5295142579032507,0.6181118824521837,0.06770243917344315,0.07193072753964122,1,5,1.5124771394795342,900,3.8749876151451876,29.92585188860516,0.7402785209883587,,PRUNED
25,0.8694383358692553,2026-09-18 20:29:52.866863,2026-09-18 20:29:53.552943,0 days 00:00:00.686080,0.5929809371257219,0.4670355552933087,0.14337444444626962,0.039094637688519056,1,7,0.6444447424667522,500,0.000143012552429758,0.08795383231288718,0.7900742569589572,,PRUNED
26,0.9006693448060998,2026-09-18 20:29:53.553196,2026-09-18 20:29:54.295505,0 days 00:00:00.742309,0.5334780763674811,0.5743444641115207,1.676743235763835,0.11612741088060492,2,4,0.5337925928425075,450,0.002505229472615908,0.43975505137631943,0.832544858980057,0.02547037826054234,COMPLETE
27,0.8973484089899955,2026-09-18 20:29:54.295874,2026-09-18 20:29:54.973733,0 days 00:00:00.677859,0.5119949794420181,0.6864142673705858,1.2494659640536028,0.046873648673085876,1,7,0.5057918974342671,150,0.0067207611778151285,0.008363563180486075,0.9814639455657674,0.03338296006373976,COMPLETE
28,0.8564365379996888,2026-09-18 20:29:54.974037,2026-09-18 20:29:55.160491,0 days 00:00:00.186454,0.5519436542900183,0.4218778509899108,0.6624555586351657,0.23512712660489546,1,7,1.4882725802065868,200,0.4658840190818342,0.15674285236780708,0.8591897817955152,,PRUNED
29,0.8786755280245843,2026-09-18 20:29:55.160756,2026-09-18 20:29:55.775137,0 days 00:00:00.614381,0.6647080375725769,0.6140298082454976,0.010727746244395627,0.08051029634160616,1,7,0.5533614870432871,450,0.1468751704968687,0.10721061850531098,0.7907391293773229,,PRUNED
30,0.9097241306508479,2026-09-18 20:29:55.775390,2026-09-18 20:29:58.891138,0 days 00:00:03.115748,0.8285950623635889,0.6238700664387525,0.005514862883114024,0.049800664442047594,0,6,0.8151439361029936,900,1.3013231750986338,4.782983183871313,0.9711028218096407,0.024685251021601514,COMPLETE
31,0.8915429000280645,2026-09-18 20:29:58.891654,2026-09-18 20:29:59.642378,0 days 00:00:00.750724,0.48493055436232857,0.5592696151847991,0.574577165012409,0.07728474641302514,0,6,1.035826808426084,250,0.0179539332705422,2.0951282170210246,0.8063910797901721,,PRUNED
32,0.9029654868685949,2026-09-18 20:29:59.642638,2026-09-18 20:30:03.645419,0 days 00:00:04.002781,0.9461818255550836,0.579664759714862,0.004907115313840915,0.05303387349756327,2,5,1.4052640616481613,900,0.42546953124602,13.30325819644825,0.7886563577657715,0.02886644533304682,COMPLETE
33,0.8732029106900219,2026-09-18 20:30:03.646095,2026-09-18 20:30:05.145018,0 days 00:00:01.498923,0.9263954382316433,0.7427400372639916,0.002067172765855432,0.044613572277173705,0,7,0.7523409412929762,850,0.05989282686584795,0.6648806132482661,0.9854216908910645,,PRUNED
34,0.9006281064357239,2026-09-18 20:30:05.145274,2026-09-18 20:30:07.267885,0 days 00:00:02.122611,0.8066795745916477,0.6988981424118476,0.00025250838469521343,0.058703381322021735,0,6,1.7614525975216067,900,6.532314819356578,1.1256334992167931,0.9272493670489369,0.02614263915449643,COMPLETE
35,0.8844301962055707,2026-09-18 20:30:07.268258,2026-09-18 20:30:10.745284,0 days 00:00:03.477026,0.803317507826708,0.400867907461113,0.0019432869351563749,0.052008332204133825,0,7,1.0831776544034277,900,0.7000533428684715,49.51857341188458,0.9176727642805083,,PRUNED
