threshold,tp,fp,fn,tn,precision,recall,specificity,f1,f2,mcc,youden_j,alert_rate,n_alerts,expected_cost
0.66,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.665,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.67,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.675,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.68,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.685,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.69,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.695,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.7,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.705,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.71,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.715,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.72,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.725,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.73,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.735,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.74,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.745,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.75,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
