MP Name,Top_Vendor,Vendor_Dominance_Pct,Is_Monopoly_Flag,Vendor_Is_Shell,Vendor_Is_Blacklisted,In_Cartel_Cluster,Collusion_Risk_Score
SHREYAS. M. PATEL,KRIDL BHUSIRI ACCOUNT WORKS,36.98,False,False,False,True,3
MUHAMMED HAMDULLAH SAYEED,The Mananging Director Kerala Medical Service Coporation Ltd,82.78,True,False,False,False,1
Dilip Saikia,Firose Khakhlari,15.14,False,False,False,False,0
AASHTIKAR PATIL NAGESH BAPURAO,SAIBABA STONE CRUSHER AND CONSTRUCTION,30.6,False,False,False,False,0
Shri Abhishek Banerjee,S S CONSTRUCTION,7.35,False,False,False,False,0
JASHUBHAI BHILUBHAI RATHVA,Krupal Construction,26.03,False,False,False,False,0
Shri Dorjee Tshering Lepcha (2024-30),ASSISTANT ENGINEER ZILLA PANCHAYAT OFFICE,19.96,False,False,False,False,0
Smt. Darshana Singh (2022-28),RAMJI CONSTRUCTION,28.65,False,False,False,False,0
V. SOMANNA,TUMKUR NIRMITHI KENDRA,52.92,False,False,False,False,0
Ganesan Selvam,T S SOLAR POWER SYSTEM,24.2,False,False,False,False,0
RAM PRASAD CHAUDHARY,JAI CONSTRUCTION,80.82,True,False,False,False,1
Ram Shiromani,NAVEEN ENTERPRISES,79.07,True,False,False,False,1
Ajay Kumar Mandal,SHIV DURGA INDUSTRIES,56.35,False,False,False,False,0
ANIL YESHWANT DESAI,MS RAVI ASHOK KUNCHIKORVE,43.6,False,False,False,False,0
DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,NUTAN KAMGAR SAHAKARI SANSTHA,19.18,False,False,False,False,0
Shri Sanjay Kumar Jha (2024-30),ASSISTANT ENGINEER JHANJHARPUR,53.42,False,False,False,False,0
KISHORI LAL,AADI AND RUDRANSH CONSTRUCTION COMPANY,69.48,False,False,False,False,0
Mukesh Rajput,Nightingale Networks LLP,81.58,True,False,False,False,1
Ravi Shankar Prasad,ASSISTANT ENGINEER DIGHA,45.95,False,False,False,False,0
Smt. Adhikarimayum Sharda Devi (2026-32),Akin construction and supply,100.0,True,False,False,False,1
Shri NK Premachandran,SML ISUZU LTD,10.39,False,False,False,False,0
BIJULI KALITA MEDHI,Construction of road from narayan kalita house to sabin boro house,3.85,False,False,False,False,0
Shri Ilaiyaraaja (2022-28),K VANARAJ,30.65,False,False,False,False,0
Kirti Vardhan Singh,AMARNATH PANDEY AMARNATH PANDEY CONTRACTOR,26.88,False,False,False,False,0
Kalanidhi Veeraswamy,SHRI VAIKUNTHANAATHAA,11.59,False,False,False,False,0
SACHITHANANTHAM R,Sri Ganapathi Constructions,9.84,False,False,False,False,0
DR. HEMANG JOSHI,NEELAM CONSTRUCTION,8.14,False,False,False,False,0
Shri Praful Patel (2024-30),NEELAM YOGESH JAISWAL,13.45,False,False,False,False,0
Dr. M. Dhanapal (2025-31),RAK INDUSTRIES,33.0,False,False,False,False,0
Shri Ratanjit Pratap Narain Singh (2024-30),BINDU DEVI,36.1,False,False,False,False,0
GODAM NAGESH,SK SHUTTERS AND FABRICATORS,12.31,False,False,False,False,0
Gumma Thanuja Rani,SRI SAI LAKSHMI CONSTRUCTIONS,19.25,False,False,False,False,0
BUNTY VIVEK SAHU,TELI SAMAJ SANGHTAN PANDURNA,3.6,False,False,False,False,0
Shri Javed Ali Khan (2022-28),HIDAYA QIRAT ENTERPRISES,40.05,False,False,False,False,0
BALYA MAMA SURESH GOPINATH MHATRE,Hindustan Enterprises,18.56,False,False,False,False,0
BISHNU PADA RAY,CSE Construction Pvt Ltd,23.58,False,False,False,False,0
Shri Randeep Singh Surjewala (2022-28),SHARMA CONTRACTOR,4.88,False,False,False,False,0
Shri S Niranjan Reddy (2022-28),IMMALRAJU VENKATASATYA NARAYANARAJU,20.02,False,False,True,False,1
Dr Shashi Tharoor,TATA MOTORS,16.52,False,False,False,False,0
RAHUL SINGH LODHI,MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH,29.38,False,False,False,False,0
Shri Yerram Venkata Subba Reddy (2024-30),GOTTIPATI MADHUSUDHANA RAO,11.33,False,False,False,False,0
DAROGA PRASAD SAROJ,VARDHAN ASSOCIATES,31.44,False,False,False,False,0
Shri Vivek K. Tankha (2022-28),MP AGRO JABALPUR,3.79,False,False,False,False,0
KRISHNA DEVI SHIVSHANKER PATEL,DHARMENDRA ENTERPRISES,44.28,False,False,False,False,0
Shri P. P. Suneer (2024-30),VE Commercial Vehicles Ltd,25.08,False,False,False,False,0
SARABJEET SINGH KHALSA,GILL TRADING COMPANY,20.62,False,False,False,False,0
KALIPADA SAREN,ATANU PATRA,29.98,False,False,False,False,0
GM Harish Balayogi,SRI SAI SAMHITA CONSTRUCTIONS,21.11,False,False,False,False,0
Shri S. Jaishankar (2023-29),CONNECTWAVE INTEGRATIONS PVT LTD,72.02,True,False,False,False,1
DR. SHARMILA SARKAR,TECHNO BEST,15.29,False,False,False,False,0
SHOBHANABEN MAHENDRASINH BARAIYA,BANTHIWADA GRAM PANCHAYAT,2.82,False,False,False,False,0
Alok Kumar Suman,BIDP INDIA PRIVATE LIMITED,38.37,False,False,False,False,0
KADIYAM KAVYA,KEDARINATH PROJECTS,7.35,False,False,False,False,0
SURESH GOPI,VIBINDAS,20.62,False,False,False,False,0
VIJAYLAKSHMI DEVI,Alam Brothers,84.16,True,False,False,False,1
ABHIJIT GANGOPADHYAY,MANDAL ENTERPRISE,6.39,False,False,False,False,0
Dr. Sangeeta Balwant (2024-30),SHRI SAI ENGINEERING WORKS,50.27,False,False,False,False,0
Krishna Prasad Tenneti,Seetha Remi Reddy,15.79,False,False,False,False,0
SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Swapnil Raghunath Thorat,9.23,False,False,False,False,0
TARIQ ANWAR,R K Construction,66.56,False,False,False,False,0
ADITYA YADAV,Jagdish Narayan,31.36,False,False,False,False,0
Pratima Mondal ,SHADOW_CORP_MONOPOLY,90.31,True,True,False,True,5
Dr. Sasmit Patra (2022-28),TAPASWINI MOHAPATRA,5.46,False,False,False,False,0
Dr. Ashok Kumar Mittal (2022-28),Living Thoughts Private Limited,21.43,False,False,False,False,0
Shri Damodar Rao Divakonda (2022-28),M Harish,12.58,False,False,False,False,0
MADHAVANENI RAGHUNANDAN RAO,PONNABOYANA SRINIVAS,9.52,False,False,False,False,0
BABU SINGH KUSHWAHA,SURAJ CONSTRUCTION,18.42,False,False,False,False,0
Ravindra Shyamnarayan Alias Ravi Kishan Shukla,KILDEEP MISHRA KRISHI SEWA KENDRA,81.15,True,False,False,False,1
BALABHADRA MAJHI,PRDEEPTA KUMAR PANDA,16.16,False,False,False,False,0
Santosh Pandey,gagan book supplier,6.04,False,False,False,False,0
Shri Neeraj Shekhar (2020-26),SHAIL CONSTRUCTION,63.69,False,False,False,False,0
TRIVENDRA SINGH RAWAT,VINDHYA SOLAR AND LIGHTING SOLUTIONS,21.3,False,False,False,False,0
