MP Name,Constituency,State,House,Allocated Amount (₹),Amount Recommended (₹),Total Expenditure (₹),Utilization %,Completed Works,Recommended Works,Completion Rate %,Balance Not Yet Paid to Vendors (₹),Transaction Count,Successful Payments,Pending Payments,Average Rating
KUNDURU RAGHUVEER,NALGONDA,Telangana,Lok Sabha,162952022.0,23968401.0,7766945.0,14.71,6,29,20.69,16201456.0,9,9,0,
Shri Satnam Singh Sandhu (2024-30),Nominated Rajya Sabha,Chandigarh,Rajya Sabha,147000000.0,21499970.0,9104144.0,14.63,4,24,16.67,12395826.0,59,58,1,
Dr. Santrupt Misra (2026-32),Sitting Rajya Sabha,Odisha,Rajya Sabha,49000000.0,6480000.0,0.0,13.22,0,11,0.0,6480000.0,0,0,0,
Shri Upendra Kushwaha (2026-32),Sitting Rajya Sabha,Bihar,Rajya Sabha,49000000.0,6426110.0,0.0,13.11,0,7,0.0,6426110.0,0,0,0,
Shri Harsh Vardhan Shringla (2025-31),Nominated Rajya Sabha,West Bengal,Rajya Sabha,73500000.0,9510271.0,0.0,12.94,0,6,0.0,9510271.0,0,0,0,
Smt Raksha Nikhil Khadse,RAVER,Maharashtra,Lok Sabha,153112586.11,19044664.0,5871973.0,12.44,3,10,30.0,13172691.0,3,3,0,
SMITA UDAY WAGH,JALGAON,Maharashtra,Lok Sabha,148107373.11,16031266.0,14030677.0,10.82,9,10,90.0,2000589.0,9,9,0,
Shri Neeraj Dangi (2026-32),Sitting Rajya Sabha,Rajasthan,Rajya Sabha,49000000.0,4999842.0,0.0,10.2,0,4,0.0,4999842.0,0,0,0,
Shri Mansoor Ali Khan (2026-32),Sitting Rajya Sabha,Karnataka,Rajya Sabha,49000000.0,4982000.0,0.0,10.17,0,3,0.0,4982000.0,0,0,0,
Kalaben Mohanbhai Delkar,DADRA & NAGAR HAVELI,The Dadra And Nagar Haveli And Daman And Diu,Lok Sabha,147000000.0,14700000.0,0.0,10.0,0,2,0.0,14700000.0,0,0,0,
Shri Devendra Pratap Singh (2024-30),Sitting Rajya Sabha,Chhattisgarh,Rajya Sabha,170837637.76,16036331.0,8275468.0,9.39,3,17,17.65,7760863.0,14,14,0,
ANIL BALUNI,GARHWAL,Uttarakhand,Lok Sabha,147000000.0,13195000.0,2739441.0,8.98,1,12,8.33,10455559.0,8,8,0,
Bhupathiraju Srinivasa varma,NARASAPURAM,Andhra Pradesh,Lok Sabha,147000000.0,12000000.0,0.0,8.16,0,1,0.0,12000000.0,0,0,0,
Ms. Swati Maliwal (2024-30),Sitting Rajya Sabha,Delhi,Rajya Sabha,147000000.0,10600000.0,0.0,7.21,0,3,0.0,10600000.0,0,0,0,
Shri Bhashyam Rama Krishna (2026-32),Sitting Rajya Sabha,Andhra Pradesh,Rajya Sabha,49000000.0,3000000.0,0.0,6.12,0,1,0.0,3000000.0,0,0,0,
Shri Pawan Khera (2026-32),Sitting Rajya Sabha,Karnataka,Rajya Sabha,49000000.0,2950000.0,0.0,6.02,0,3,0.0,2950000.0,0,0,0,
Smt. Laxmi Verma (2026-32),Sitting Rajya Sabha,Chhattisgarh,Rajya Sabha,49000000.0,2500000.0,1250000.0,5.1,0,2,0.0,1250000.0,2,2,0,
Shri Chowdry Mohammad Ramzan (2025-31),Sitting Rajya Sabha,Jammu And Kashmir,Rajya Sabha,73500000.0,2600000.0,0.0,3.54,0,2,0.0,2600000.0,0,0,0,
Shri Sanjay Kumar Jha (2024-30),Sitting Rajya Sabha,Bihar,Rajya Sabha,186200000.0,6254795.0,5078584.0,3.36,4,6,66.67,1176211.0,6,6,0,
Nishikant Dubey,GODDA,Jharkhand,Lok Sabha,147000000.0,4285510.0,1785510.0,2.92,0,2,0.0,2500000.0,1,1,0,
Shri Lingamaneni Ramesh (2026-32),Sitting Rajya Sabha,Andhra Pradesh,Rajya Sabha,49000000.0,1200000.0,0.0,2.45,0,1,0.0,1200000.0,0,0,0,
Shri Sanjay Bhatia (2026-32),Sitting Rajya Sabha,Haryana,Rajya Sabha,49000000.0,1100000.0,0.0,2.24,0,1,0.0,1100000.0,0,0,0,
Shrikant Eknath Shinde,KALYAN,Maharashtra,Lok Sabha,147000000.0,2825000.0,325000.0,1.92,0,2,0.0,2500000.0,1,1,0,
